"","fips","county_name","state_abbr","state_name"
"330",12015,"Charlotte","FL","Florida"
"331",12017,"Citrus","FL","Florida"
"332",12019,"Clay","FL","Florida"
"333",12021,"Collier","FL","Florida"
"334",12023,"Columbia","FL","Florida"
"335",12027,"DeSoto","FL","Florida"
"336",12029,"Dixie","FL","Florida"
"337",12031,"Duval","FL","Florida"
"338",12033,"Escambia","FL","Florida"
"339",12035,"Flagler","FL","Florida"
"340",12037,"Franklin","FL","Florida"
"341",12039,"Gadsden","FL","Florida"
"342",12041,"Gilchrist","FL","Florida"
"343",12043,"Glades","FL","Florida"
"344",12045,"Gulf","FL","Florida"
"345",12047,"Hamilton","FL","Florida"
"346",12049,"Hardee","FL","Florida"
"347",12051,"Hendry","FL","Florida"
"348",12053,"Hernando","FL","Florida"
"349",12055,"Highlands","FL","Florida"
"350",12057,"Hillsborough","FL","Florida"
"351",12059,"Holmes","FL","Florida"
"352",12061,"Indian River","FL","Florida"
"353",12063,"Jackson","FL","Florida"
"354",12065,"Jefferson","FL","Florida"
"355",12067,"Lafayette","FL","Florida"
"356",12069,"Lake","FL","Florida"
"357",12071,"Lee","FL","Florida"
"358",12073,"Leon","FL","Florida"
"359",12075,"Levy","FL","Florida"
"360",12077,"Liberty","FL","Florida"
"361",12079,"Madison","FL","Florida"
"362",12081,"Manatee","FL","Florida"
"363",12083,"Marion","FL","Florida"
"364",12085,"Martin","FL","Florida"
"365",12086,"Miami-Dade","FL","Florida"
"366",12087,"Monroe","FL","Florida"
"367",12089,"Nassau","FL","Florida"
"368",12091,"Okaloosa","FL","Florida"
"369",12093,"Okeechobee","FL","Florida"
"370",12095,"Orange","FL","Florida"
"371",12097,"Osceola","FL","Florida"
"372",12099,"Palm Beach","FL","Florida"
"373",12101,"Pasco","FL","Florida"
"374",12103,"Pinellas","FL","Florida"
"375",12105,"Polk","FL","Florida"
"376",12107,"Putnam","FL","Florida"
"377",12109,"St. Johns","FL","Florida"
"378",12111,"St. Lucie","FL","Florida"
"379",12113,"Santa Rosa","FL","Florida"
"380",12115,"Sarasota","FL","Florida"
"381",12117,"Seminole","FL","Florida"
"382",12119,"Sumter","FL","Florida"
"383",12121,"Suwannee","FL","Florida"
"384",12123,"Taylor","FL","Florida"
"385",12125,"Union","FL","Florida"
"386",12127,"Volusia","FL","Florida"
"387",12129,"Wakulla","FL","Florida"
"388",12131,"Walton","FL","Florida"
"389",12133,"Washington","FL","Florida"
"390",13001,"Appling","GA","Georgia"
"391",13003,"Atkinson","GA","Georgia"
"392",13005,"Bacon","GA","Georgia"
"393",13007,"Baker","GA","Georgia"
"394",13009,"Baldwin","GA","Georgia"
"395",13011,"Banks","GA","Georgia"
"396",13013,"Barrow","GA","Georgia"
"397",13015,"Bartow","GA","Georgia"
"398",13017,"Ben Hill","GA","Georgia"
"399",13019,"Berrien","GA","Georgia"
"400",13021,"Bibb","GA","Georgia"
"401",13023,"Bleckley","GA","Georgia"
"402",13025,"Brantley","GA","Georgia"
"403",13027,"Brooks","GA","Georgia"
"404",13029,"Bryan","GA","Georgia"
"405",13031,"Bulloch","GA","Georgia"
"406",13033,"Burke","GA","Georgia"
"407",13035,"Butts","GA","Georgia"
"408",13037,"Calhoun","GA","Georgia"
"409",13039,"Camden","GA","Georgia"
"410",13043,"Candler","GA","Georgia"
"411",13045,"Carroll","GA","Georgia"
"412",13047,"Catoosa","GA","Georgia"
"413",13049,"Charlton","GA","Georgia"
"414",13051,"Chatham","GA","Georgia"
"415",13053,"Chattahoochee","GA","Georgia"
"416",13055,"Chattooga","GA","Georgia"
"417",13057,"Cherokee","GA","Georgia"
"418",13059,"Clarke","GA","Georgia"
"419",13061,"Clay","GA","Georgia"
"420",13063,"Clayton","GA","Georgia"
"421",13065,"Clinch","GA","Georgia"
"422",13067,"Cobb","GA","Georgia"
"423",13069,"Coffee","GA","Georgia"
"424",13071,"Colquitt","GA","Georgia"
"425",13073,"Columbia","GA","Georgia"
"426",13075,"Cook","GA","Georgia"
"427",13077,"Coweta","GA","Georgia"
